Title,Author,Price
Burn Book,Kara Swisher,$17.99
The Book,Keith Houston,$17.19
Lean UX: Designing Great Products with Agile Teams (Second Edition),"Jeff Gothelf, Josh Seiden",$21.49
ChatGPT Anthology: 5 Books in 1,Ryan Lee,$24.95
The Idea Factory,Jon Gertner,$25.79
The Nvidia Way,Tae Kim,$27.99
How to Do Nothing,Jenny Odell,$17.19
40-Day Social Media Fast,Wendy Speake,$17.19
Designing Data-Intensive Applications,Martin Kleppmann,$30.09
Information Architecture,"Louis Rosenfeld, Peter Morville, Jorge Arango",$21.49
Building Microservices,Sam Newman,$25.79
"CompTIA A+, NETWORK+ & SECURITY+ EXAM PREP (3-BOOKS-IN-1)",SmartStudy Solutions,$14.99
User Story Mapping,"Jeff Patton, Peter Economy - foreword",$21.49
The Distracted Mind,"Larry D. Rosen, Adam Gazzaley",$21.49
Paper,Mark Kurlansky,$21.49
LikeWar,"P. W. Singer, Emerson T. Brooking",$21.49
Managing Humans,Michael Lopp,$17.19
Deep Medicine,Eric Topol,$21.49
The Clean Coder,Robert C. Martin,$21.49
Using ChatGPT as Your At-Home Money-Making Consultant,Gary Covella,$4.99
Data and Goliath,Bruce Schneier,$17.19
SOCIAL ENGINEERING,Norris Elliott,$14.99
Hackers & Painters,Paul Graham,$17.19
The Poisoner's Handbook,Deborah Blum,$15.47
Clean Agile,Robert C. Martin,$21.49
Red Moon Rising,Matthew Brzezinski,$22.25
CHATGPT BOOK FOR BEGINNERS,Arsath Natheem S,$3.99
"CIA MIND SCIENCE, CODES & CIPHERS",Eric Engle,$14.99
The Art of Social Media,"Guy Kawasaki, Peg Fitzpatrick",$17.19
Big Mind,Geoff Mulgan,$25.79
Laws of UX,Jon Yablonski,$11.17
Python Programming for Beginners,Mark Gowen,$14.99
Average is Over,Tyler Cowen,$17.19
The Genesis Book,Aaron van Wirdum,$24.95
The Ultimate Beginners Guide to Understanding Cryptocurrency for Investing,Nicasio Rios Jr,$14.99
AI for Business,Russel Grant,$19.95
Generative AI for Busy Business Leaders,Hassan Osman,$3.99
WebSDR Handbook,Philip G. Collier,$4.29
Becoming a Data Head,"Alex J. Gutman, Jordan Goldmeier",$20.00
Defensive Security Handbook (2nd Edition),"William F. Reyor III, Lee Brotherston, Amanda Berlin",$13.99
A Human Algorithm,Flynn Coleman,$17.19
Burn Book,Kara Swisher,$18.15
HANDBOOK OF CHATGPT,Arsath Natheem S,$3.99
We Were Yahoo!,Jeremy Ring,$21.49
Totally Wired,Andrew Smith,$21.49
Hacker's Cookbook,Jean-Jacques Reibel,$9.99
The Big Book of Podcasting,Riley Stevens,$6.99
The AI Transformation Starter Guide: Everything You Need to Know to Get Started with AI in Your Business and Daily Life,AI Horizons,$6.95
The Ultimate Generative AI Guidebook,Jordan Blake,$19.95
Brilliant,Jane Brox,$21.49
Lean Mastery: 8 Books in 1,Greg Caldwell,$24.95
Clean Code,Robert C. Martin,$21.49
ChatGPT for Beginners,SK Singh,$3.99
Technically Wrong,Sara Wachter-Boettcher,$21.49
ITIL® 4: The New Frontier,Jeffrey Tefertiller,$9.99
Black Software,Charlton D. McIlwain,$17.19
The Ultimate Kali Linux Book,Glen D. Singh,$27.29
Breaking the Social Media Prism,Christopher A. Bail,$13.75
Content Marketing Made Easy,John Nemo,$7.99
Leonardo to the Internet (Third Edition),Thomas J. Misa,$25.79
VMware Workstation Made Easy,James Bernstein,$9.99
The Social Media Management Handbook,"Robert Wollan, Nick Smith, Catherine Zhou",$21.49
"Our Robots, Ourselves",David A. Mindell,$17.19
The Parabolic Dish Handbook,"Barrett Williams, ChatGPT ChatGPT",$4.99
The Content Writer’s Handbook,"Julia McCoy, Owen Hemsath, Jeff J Hunter",$9.99
Inteligencia artificial en la vida chilanga [Artificial Intelligence in the Chilanga Life],"varios autores, Salvador Zargoza - adaptador",$6.95
We Have Root,Bruce Schneier,$21.49
The Product Book,"Product School, Carlos González de Villaumbrosia, Josh Anon",$19.95
The Codex Chronicles,Josh Hampton,$4.99
Relationships 5.0,Elyakim Kislev,$17.19
Mastering AI (2 Books In 1),B.B. Jankoski,$19.95
Eso no estaba en mi libro de Historia de los Videojuegos [That Was Not in My Video Games History Book],Daniel García Raso,$19.96
The Metaverse,Matthew Ball,$25.00
Four Battlegrounds,Paul Scharre,$21.49
Culture Warlords,Talia Lavin,$19.48
The OnlyFans Cheat Code Book for Guys,Baz Tenny,$3.99
The Electrifying Fall of Rainbow City,Margaret Creighton,$25.79
The Book of Satoshi,Phil Champagne,$19.95
They will come for you,"Sam Baron, SJ Blake",$7.99
The Catalyst,Thomas R. Cech,$17.49
Software Engineering at Google,"Titus Winters, Tom Manshreck, Hyrum Wright",$25.79
Revolutionizing Requirements: The AI Advantage in Business Analysis,"Thomas Hathaway, Angela Hathaway",$3.99
Making Money Online with AI & ChatGPT: 2 in 1,Brian Scott Fitzgerald,$24.95
The Mind's Mirror,"Daniela Rus, Gregory Mone",$17.19
The Cyber Risk Handbook,Domenic Antonucci,$17.49
Thinking Machines,Luke Dormehl,$21.49
The Singularity Is Nearer,Ray Kurzweil,$20.25
Data for the People,Andreas S. Weigend,$21.49
Out of Touch,Michelle Drouin,$17.19
Social Media Marketing for Beginners 2024,Maxwell Cyberstein,$19.95
The Secret Life of Data,"Aram Sinnreich, Jesse Gilbert",$21.49
